TIME,TEMPERATURE,WIND_SPEED,WIND_DIRECTION
2000082700,25.1,0.7,294.5
2000082706,27.2,2.1,246.6
2000082712,30.5,4.1,223.4
2000082718,27.4,1.5,279
2000082800,24.1,0.4,348.6
2000082806,26.5,1.3,195
2000082812,30.2,2.6,156.6
2000082818,27.2,1.5,128.1
2000082900,25,0.8,34.1
2000082906,27,1.6,65.9
2000082912,29.6,3.3,72.7
2000082918,26,2.2,28.7
2000083000,24.4,1.1,350
2000083006,26.8,1.8,27
2000083012,29.5,4.2,86.7
2000083018,26.7,2.6,70
2000083100,26.5,2.2,76.6
2000083106,27.2,4.2,143.3
2000083112,26.9,5.5,160
2000083118,27,6,203.2
2000090100,27.1,4.5,246.6
2000090106,28.4,5.2,253.3
2000090112,31.9,5.9,250
2000090118,28.1,3.7,253.4
2000090200,26.3,3.2,298.5
2000090206,27.7,1.9,342.4
2000090212,31.8,2.8,353.9
2000090218,27.7,1.8,36.2
2000090300,24.5,1.2,17.7
2000090306,22.5,0.6,342.8
2000090312,22.7,0.9,16.7
2000090318,21.3,0.9,346.5
2000090400,20.8,0.8,3.4
2000090406,23.3,2.6,21.6
2000090412,25.6,4,55.3
2000090418,21,2.2,14.7
2000090500,19.6,1.8,0
2000090506,22,3,6.6
2000090512,25.6,3.4,62.1
2000090518,22.1,0.9,7.1
2000090600,19,0.9,329.8
2000090606,22.2,0.3,23.7
2000090612,26.6,2.7,160
2000090618,24,1.3,276.6
2000090700,21.8,0.5,343
2000090706,21.8,2.2,40.1
2000090712,23.3,2.3,45.1
2000090718,20.4,1.5,6.6
2000090800,20.1,1.8,0
2000090806,20.3,2,13.4
2000090812,19.8,2.4,10
2000090818,19.7,1.9,16.7
2000090900,19.7,2.3,6.6
2000090906,19.6,2.1,10
2000090912,21.6,2.2,21.6
2000090918,20,1.7,21.6
2000091000,19.7,1.7,14.7
2000091006,20,2.5,13.6
2000091012,20.7,2.3,35
2000091018,19.2,1.9,6.6
2000091100,19.8,2.5,10.2
